deckname,modularity,value
The Sentrys of Failure Faith|The Mice of the Fierce Fur,0.42307692307692313,3.580952380952382
The Sentrys of Failure Faith|The Senseis who became Champs,0.3822714681440443,4.930147058823529
The Sentrys of Failure Faith|The Crossing Soul Hags,0.3912591050988553,4.3428571428571425
The Sentrys of Failure Faith|The Group of Brass Conspiracies,0.36639118457300274,4.491666666666666
The Sentrys of Failure Faith|The Fleeing Feasting Brother Flock,0.5273469387755102,4.052287581699346
The Sentrys of Failure Faith|The Squadron of the Fire,0.3995837669094693,4.285714285714286
The Sentrys of Failure Faith|The Imps of Descending Chiron,0.39595719381688466,4.313186813186813
The Sentrys of Failure Faith|Outfit of Camping and Waving,0.5007999999999999,3.547619047619049
The Omnivore Brutish Herders|The Tentacles of the Diseased Bone,0.17751479289940827,5.664835164835165
The Omnivore Brutish Herders|The Sentrys of Failure Faith,0.421875,4.934065934065934
The Omnivore Brutish Herders|The Former Hoping Valkyrie Trustees,0.35950413223140487,3.4487179487179493
The Omnivore Brutish Herders|The Fire Breathers of the Heartseeker,0.4784580498866213,2.8095238095238106
The Omnivore Brutish Herders|The Mothers of the Plutonium Echo,0.47111111111111115,4.004761904761906
The Omnivore Brutish Herders|The Hurting Demons Larvae,0.2378175760099958,6.014705882352939
The Omnivore Brutish Herders|The Aunts of Bleeding Brightsteel,0.29717291255752787,5.57142857142857
The Omnivore Brutish Herders|The Liches of Rebirth and Duskmaw,0.3950617283950617,3.470833333333333
The Omnivore Brutish Herders|The Fortelling Aggravating Ticklers,0.390625,3.4945054945054945
The Omnivore Brutish Herders|The Opening Sisters Liches,0.22926308294766817,6.415441176470586
The Omnivore Brutish Herders|Vindicators of Sobbing and Baking,0.5475206611570247,2.8
The Omnivore Brutish Herders|Sparky's Attentive Combatants,0.5413223140495868,3.1813186813186816
The Omnivore Brutish Herders|The Raiders of Hound and Mask,0.22352430555555558,6.6380952380952385
The Omnivore Brutish Herders|The Serious Silver Soldiers,0.48,2.727272727272727
The Omnivore Brutish Herders|The Sorcerers of the Oratek Eruptor,0.27662105889351574,5.504166666666666
The Omnivore Brutish Herders|The Sixth Barb Band,0.36444444444444446,3.7666666666666666
The Omnivore Brutish Herders|The Masters of Swearing,0.33769322235434013,3.6958333333333333
The Omnivore Brutish Herders|The Quantums of Metal and Faith,0.43709825528007346,3.9007352941176463
The Omnivore Brutish Herders|The Overseers of Sparky,0.37585733882030176,4.507575757575758
The Omnivore Brutish Herders|Doctors of Tatoo and Comparing,0.29629629629629634,4.6875
The Omnivore Brutish Herders|The Savants of the Ending Predator,0.4574669187145557,3.11904761904762
The Omnivore Brutish Herders|The Host of the Confident Miracles,0.42239999999999994,3.7142857142857144
The Omnivore Brutish Herders|The King Varna Generals,0.16537775133848898,5.879120879120878
The Omnivore Brutish Herders|The Pondering Iron Advisers,0.3708086785009862,4.883333333333333
The Omnivore Brutish Herders|The Raiders of Leading Capitals,0.372528616024974,3.895833333333333
The Omnivore Brutish Herders|The Monks of the Great Quitting Fire,0.52,2.2222222222222228
The Omnivore Brutish Herders|The Senseis who became Champs,0.2901744719926539,4.5428571428571445
The Omnivore Brutish Herders|The Protectors of the Saving Herbs,0.40828402366863903,3.7362637362637363
The Omnivore Brutish Herders|The Crossing Soul Hags,0.34027055150884494,4.461538461538462
The Omnivore Brutish Herders|The Professing Watchdogs,0.4876543209876543,2.769230769230771
The Omnivore Brutish Herders|The Group of Brass Conspiracies,0.29000000000000004,5.1875
The Omnivore Brutish Herders|The Squadron of the Fire,0.3387573964497042,3.736263736263736
The Omnivore Brutish Herders|The Imps of Descending Chiron,0.27467300832342456,4.461538461538463
The Former Hoping Valkyrie Trustees|The Tentacles of the Diseased Bone,0.25795918367346937,5.698717948717948
The Former Hoping Valkyrie Trustees|The Sentrys of Failure Faith,0.423469387755102,4.233333333333334
The Former Hoping Valkyrie Trustees|The Omnivore Brutish Herders,0.35950413223140487,3.44871794871795
The Former Hoping Valkyrie Trustees|The Simple Lords,0.2795138888888889,4.49090909090909
The Former Hoping Valkyrie Trustees|Army of Alpha and Curing,0.29766803840877915,4.1208791208791204
The Former Hoping Valkyrie Trustees|The Mothers of the Plutonium Echo,0.40479999999999994,3.433333333333334
The Former Hoping Valkyrie Trustees|The Hurting Demons Larvae,0.18074792243767313,5.890109890109888
The Former Hoping Valkyrie Trustees|The Aunts of Bleeding Brightsteel,0.3422222222222222,4.384615384615384
The Former Hoping Valkyrie Trustees|The Liches of Rebirth and Duskmaw,0.23553719008264457,3.704545454545454
The Former Hoping Valkyrie Trustees|The Opening Sisters Liches,0.166351606805293,6.457142857142856
The Former Hoping Valkyrie Trustees|Brigade of Druid and Weird,0.3703703703703704,3.7888888888888896
The Former Hoping Valkyrie Trustees|Sparky's Attentive Combatants,0.48582230623818523,2.9208333333333334
The Former Hoping Valkyrie Trustees|The Raiders of Hound and Mask,0.175,6.621794871794872
The Former Hoping Valkyrie Trustees|The Serious Silver Soldiers,0.17451523545706368,3.572727272727272
The Former Hoping Valkyrie Trustees|The Farmers of the Spiky Tunnels,0.5078125,2.6742424242424243
The Former Hoping Valkyrie Trustees|The Sixth Barb Band,0.31333333333333335,4.138095238095238
The Former Hoping Valkyrie Trustees|The Quantums of Metal and Faith,0.28125,4.593406593406593
The Former Hoping Valkyrie Trustees|The Phalanx of Everflow Treefolk,0.38,3.6139705882352935
The Former Hoping Valkyrie Trustees|The Champions of the Whisker,0.17119999999999996,5.708333333333333
The Former Hoping Valkyrie Trustees|The Overseers of Sparky,0.19421487603305781,3.840909090909091
The Former Hoping Valkyrie Trustees|The Savants of the Ending Predator,0.2986111111111111,4.03030303030303
The Former Hoping Valkyrie Trustees|The Hermit Spiders,0.328125,4.134615384615385
The Former Hoping Valkyrie Trustees|The King Varna Generals,0.2559833506763788,4.752747252747252
The Former Hoping Valkyrie Trustees|The Pondering Iron Advisers,0.3215400624349636,4.0
The Former Hoping Valkyrie Trustees|The Company of Botany,0.4952741020793951,3.87121212121212
The Former Hoping Valkyrie Trustees|The Raiders of Leading Capitals,0.2577777777777778,4.450549450549451
The Former Hoping Valkyrie Trustees|The Mice of the Fierce Fur,0.3043478260869565,3.570512820512821
The Former Hoping Valkyrie Trustees|The Protectors of the Saving Herbs,0.3705103969754254,3.4120879120879124
The Former Hoping Valkyrie Trustees|The Crossing Soul Hags,0.3484224965706447,4.0989010989010985
The Former Hoping Valkyrie Trustees|The Professing Watchdogs,0.4844290657439446,2.615384615384616
The Former Hoping Valkyrie Trustees|The Group of Brass Conspiracies,0.20603537981269504,5.044871794871795
The Former Hoping Valkyrie Trustees|The Fleeing Feasting Brother Flock,0.3545918367346939,4.500000000000001
The Former Hoping Valkyrie Trustees|The Imps of Descending Chiron,0.41666666666666663,3.762820512820513
The Former Hoping Valkyrie Trustees|Outfit of Camping and Waving,0.27032136105860116,3.7499999999999996
The Simple Lords|The Tentacles of the Diseased Bone,0.17409412744689715,7.717948717948717
The Simple Lords|The Sentrys of Failure Faith,0.4610726643598616,5.6602564102564115
